Вероисповедание,В городах: муж.,В городах: жен.,В уездах: муж.,В уездах: жен.
Православного,33455,22309,295015,250816
Раскольников,88,37,6021,5706
Единоверческого,72,42,2,—
Армяно-григорианского,40,37,15,3
Римско-католического,1063,455,3976,2254
Лютеранского,216,194,3139,1961
Протестантского,87,50,10,—
Еврейского,992,726,2148,1709
Караимского,—,—,68,26
Магометанского,1102,721,2805,1452
Ламайского,—,—,2,—
Шаманствующих,—,—,1004,1012
Идолопоклонников,5,—,—,—
Итого:,37120,24571,314205,264939
Всего обоего пола:,,,,640835
