Наименование вероисповеданий,Енисейского округа Северной м.,Енисейского округа Северной ж.,Енисейского округа Южной м.,Енисейского округа Южной ж.,Красноярского округа м.,Красноярского округа ж.,Канского округа м.,Канского округа ж.
Православного,2902,2026,3184,597,58,17,326,65
Раскольников,3,1,-,-,-,-,-,-
Единоверческого,-,-,-,-,-,-,-,-
Армяно-григорианского,-,-,-,-,-,-,-,-
Римско-католического,91,87,89,2,-,-,16,4
Лютеранского,3,-,-,-,1,-,3,1
Протестантского,2,-,2,-,-,-,-,-
Еврейского,14,2,27,8,-,-,9,2
Караимского,-,-,-,-,-,-,-,-
Магометанского,195,10,142,2,2,-,58,1
Идолопоклонников,-,-,-,-,-,-,-,-
Ламайского,-,-,-,-,-,-,-,-
Шаманствующих,-,-,-,-,-,-,-,-
Итого,3210,2047,3444,609,61,17,412,73
